city,mission_type,country
Dalian,Consulate,South Korea 
Dandong,Consulate,North Korea 
Erenhot,Consulate,Mongolia 
Guangzhou,Consulate,Angola
Guangzhou,Consulate,Argentina
Guangzhou,Consulate,Australia
Guangzhou,Consulate,Austria
Guangzhou,Consulate,Belarus
Guangzhou,Consulate,Belgium
Guangzhou,Consulate,Brazil
Guangzhou,Consulate,Cambodia
Guangzhou,Consulate,Canada
Guangzhou,Consulate,Chile
Guangzhou,Consulate,Colombia
Guangzhou,Consulate,Congo-Brazzaville
Guangzhou,Consulate,Cuba
Guangzhou,Consulate,Denmark
Guangzhou,Consulate,Ecuador
Guangzhou,Consulate,France
Guangzhou,Consulate,Germany
Guangzhou,Consulate,Ghana
Guangzhou,Consulate,Greece
Guangzhou,Consulate,Hungary
Guangzhou,Consulate,India
Guangzhou,Consulate,Iran
Guangzhou,Consulate,Israel
Guangzhou,Consulate,Italy
Guangzhou,Consulate,Ivory Coast
Guangzhou,Consulate,Japan
Guangzhou,Consulate,Kyrgyzstan
Guangzhou,Consulate,Kuwait
Guangzhou,Consulate,Laos
Guangzhou,Consulate,Malaysia
Guangzhou,Consulate,Mali
Guangzhou,Consulate,Mexico
Guangzhou,Consulate,Nepal
Guangzhou,Consulate,Netherlands
Guangzhou,Consulate,New Zealand
Guangzhou,Consulate,Nigeria
Guangzhou,Consulate,Norway
Guangzhou,Consulate,Pakistan
Guangzhou,Consulate,Panama
Guangzhou,Consulate,Peru
Guangzhou,Consulate,Philippines
Guangzhou,Consulate,Poland
Guangzhou,Consulate,Qatar
Guangzhou,Consulate,Russia
Guangzhou,Consulate,Saudi Arabia
Guangzhou,Consulate,Senegal
Guangzhou,Consulate,Singapore
Guangzhou,Consulate,South Korea
Guangzhou,Consulate,Spain
Guangzhou,Consulate,Sri Lanka
Guangzhou,Consulate,Sudan
Guangzhou,Consulate,Switzerland
Guangzhou,Consulate,Tanzania
Guangzhou,Consulate,Thailand
Guangzhou,Consulate,Turkey
Guangzhou,Consulate,Uganda
Guangzhou,Consulate,Ukraine
Guangzhou,Consulate,United Arab Emirates
Guangzhou,Consulate,United Kingdom
Guangzhou,Consulate,United States
Guangzhou,Consulate,Uruguay
Guangzhou,Consulate,Uzbekistan
Guangzhou,Consulate,Vanuatu
Guangzhou,Consulate,Venezuela
Guangzhou,Consulate,Vietnam
Guangzhou,Consulate,Zambia
Haikou,Consulate,Cambodia
Harbin,Consulate,Russia
Hohhot,Consulate,Mongolia
Manzhouli,Consulate,Mongolia 
Jinan,Consulate,Cambodia
Jinghong,Consulate,Laos 
Kunming,Consulate,Bangladesh
Kunming,Consulate,Cambodia
Kunming,Consulate,Laos
Kunming,Consulate,Malaysia
Kunming,Consulate,Myanmar
Kunming,Consulate,Thailand
Kunming,Consulate,Vietnam
Lhasa,Consulate,Nepal
Nanning,Consulate,Cambodia
Nanning,Consulate,Laos
Nanning,Consulate,Malaysia
Nanning,Consulate,Myanmar
Nanning,Consulate,Thailand
Nanning,Consulate,Vietnam
Qingdao,Consulate,Japan
Qingdao,Consulate,South Korea
Qingdao,Consulate,Thailand
Shanghai,Consulate,Argentina
Shanghai,Consulate,Australia
Shanghai,Consulate,Austria
Shanghai,Consulate,Belarus
Shanghai,Consulate,Belgium
Shanghai,Consulate,Brazil
Shanghai,Consulate,Bulgaria
Shanghai,Consulate,Cambodia
Shanghai,Consulate,Canada
Shanghai,Consulate,Chile
Shanghai,Consulate,Colombia
Shanghai,Consulate,Costa Rica
Shanghai,Consulate,Cuba
Shanghai,Consulate,Czech Republic
Shanghai,Consulate,Denmark
Shanghai,Consulate,Dominican Republic
Shanghai,Consulate,Ecuador
Shanghai,Consulate,Egypt
Shanghai,Consulate,Fiji
Shanghai,Consulate,Finland
Shanghai,Consulate,France
Shanghai,Consulate,Germany
Shanghai,Consulate,Greece
Shanghai,Consulate,Hungary
Shanghai,Consulate,Iceland
Shanghai,Consulate,India
Shanghai,Consulate,Indonesia
Shanghai,Consulate,Iran
Shanghai,Consulate,Ireland
Shanghai,Consulate,Israel
Shanghai,Consulate,Italy
Shanghai,Consulate,Japan
Shanghai,Consulate,Kazakhstan
Shanghai,Consulate,Kuwait
Shanghai,Consulate,Laos
Shanghai,Consulate,Luxembourg
Shanghai,Consulate,Malaysia
Shanghai,Consulate,Malta
Shanghai,Consulate,Mexico
Shanghai,Consulate,Mongolia
Shanghai,Consulate,Netherlands
Shanghai,Consulate,New Zealand
Shanghai,Consulate,Nigeria
Shanghai,Consulate,Norway
Shanghai,Consulate,Pakistan
Shanghai,Consulate,Panama
Shanghai,Consulate,Peru
Shanghai,Consulate,Philippines
Shanghai,Consulate,Poland
Shanghai,Consulate,Portugal
Shanghai,Consulate,Romania
Shanghai,Consulate,Russia
Shanghai,Consulate,Serbia
Shanghai,Consulate,Seychelles
Shanghai,Consulate,Singapore
Shanghai,Consulate,Slovakia
Shanghai,Consulate,Slovenia 
Shanghai,Consulate,South Africa
Shanghai,Consulate,South Korea
Shanghai,Consulate,Spain
Shanghai,Consulate,Sri Lanka
Shanghai,Consulate,Sweden
Shanghai,Consulate,Switzerland
Shanghai,Consulate,Thailand
Shanghai,Consulate,Turkey
Shanghai,Consulate,Ukraine
Shanghai,Consulate,United Arab Emirates
Shanghai,Consulate,United Kingdom
Shanghai,Consulate,United States
Shanghai,Consulate,Uruguay
Shanghai,Consulate,Uzbekistan
Shanghai,Consulate,Vanuatu
Shanghai,Consulate,Venezuela
Shanghai,Consulate,Vietnam
Shenyang,Consulate,Australia
Shenyang,Consulate,France
Shenyang,Consulate,Germany
Shenyang,Consulate,Japan
Shenyang,Consulate,North Korea
Shenyang,Consulate,Russia
Shenyang,Consulate,South Korea
Shenyang,Consulate,United States
Urumqi,Consulate,Kazakhstan 
Urumqi,Consulate,Kyrgyzstan 
Wuhan,Consulate,France
Wuhan,Consulate,South Korea
Wuhan,Consulate,United Kingdom
Wuhan,Consulate,United States
Xiamen,Consulate,Philippines
Xiamen,Consulate,Singapore
Xiamen,Consulate,Thailand
Xi'an,Consulate,Cambodia
Xi'an,Consulate,Malaysia
Xi'an,Consulate,Kazakhstan
Xi'an,Consulate,South Korea
Xi'an,Consulate,Thailand
